Customer_ID,Age_Group,Gender,City_Tier,Income_Level,Connection_Type,Booking_Method,Booking_Frequency,Delivery_Days,Complaint,Overall_Satisfaction
1,36-50,Prefer not to say,Tier 2,<20k,Domestic,Agent,2-3 months,3,1,4
2,50+,Female,Tier 3,<20k,Domestic,Agent,2-3 months,4,1,1
3,18-25,Prefer not to say,Tier 2,1L+,Domestic,Mobile App,2-3 months,3,0,2
4,36-50,Prefer not to say,Tier 2,20k-50k,Commercial,Mobile App,3-6 months,1,0,4
5,36-50,Male,Tier 1,20k-50k,Domestic,Website,2-3 months,3,0,3
6,50+,Male,Tier 1,<20k,Domestic,Agent,Monthly,2,1,5
7,18-25,Prefer not to say,Tier 1,<20k,Domestic,Mobile App,3-6 months,1,0,5
8,18-25,Male,Tier 1,50k-1L,Domestic,Agent,3-6 months,4,1,1
9,36-50,Female,Tier 2,<20k,Domestic,Agent,2-3 months,5,1,1
10,26-35,Female,Tier 2,20k-50k,Domestic,Mobile App,Monthly,2,0,4
11,36-50,Male,Tier 2,<20k,Commercial,Agent,Monthly,5,1,1
12,36-50,Female,Tier 3,20k-50k,Commercial,Mobile App,3-6 months,1,0,5
13,36-50,Male,Tier 3,<20k,Domestic,Call,Monthly,2,1,5
14,36-50,Prefer not to say,Tier 3,50k-1L,Domestic,Website,2-3 months,2,0,4
15,50+,Prefer not to say,Tier 2,50k-1L,Domestic,Agent,2-3 months,4,1,2
16,18-25,Female,Tier 2,50k-1L,Commercial,Mobile App,2-3 months,2,0,5
17,50+,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,1,0,5
18,50+,Male,Tier 1,50k-1L,Domestic,Call,2-3 months,3,1,2
19,50+,Female,Tier 2,20k-50k,Domestic,Agent,3-6 months,3,1,2
20,36-50,Prefer not to say,Tier 3,20k-50k,Domestic,Call,2-3 months,4,1,2
21,26-35,Female,Tier 3,20k-50k,Domestic,Website,2-3 months,5,1,2
22,18-25,Prefer not to say,Tier 1,<20k,Domestic,Agent,3-6 months,3,1,3
23,26-35,Male,Tier 2,<20k,Domestic,Mobile App,3-6 months,3,0,4
24,50+,Prefer not to say,Tier 3,50k-1L,Commercial,Mobile App,3-6 months,1,0,5
25,50+,Female,Tier 1,<20k,Domestic,Mobile App,Monthly,3,0,3
26,26-35,Male,Tier 2,20k-50k,Domestic,Call,Monthly,3,1,3
27,26-35,Female,Tier 3,20k-50k,Domestic,Call,2-3 months,3,1,2
28,26-35,Female,Tier 2,50k-1L,Domestic,Call,2-3 months,3,1,2
29,50+,Prefer not to say,Tier 1,1L+,Domestic,Mobile App,2-3 months,3,0,4
30,50+,Female,Tier 2,50k-1L,Domestic,Mobile App,Monthly,2,0,4
31,18-25,Prefer not to say,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,1,0,4
32,18-25,Male,Tier 2,<20k,Commercial,Call,2-3 months,2,1,4
33,50+,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,0,5
34,26-35,Male,Tier 2,<20k,Domestic,Mobile App,3-6 months,3,0,2
35,26-35,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,Monthly,2,0,5
36,18-25,Female,Tier 2,20k-50k,Domestic,Call,2-3 months,4,1,1
37,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Mobile App,Monthly,3,0,3
38,18-25,Prefer not to say,Tier 1,1L+,Commercial,Agent,3-6 months,5,1,2
39,18-25,Male,Tier 3,<20k,Domestic,Call,3-6 months,3,1,2
40,36-50,Female,Tier 1,20k-50k,Domestic,Call,3-6 months,2,1,3
41,36-50,Prefer not to say,Tier 2,<20k,Commercial,Agent,3-6 months,5,1,1
42,36-50,Female,Tier 1,1L+,Domestic,Mobile App,3-6 months,1,0,5
43,26-35,Prefer not to say,Tier 2,50k-1L,Domestic,Mobile App,3-6 months,2,0,5
44,50+,Prefer not to say,Tier 2,50k-1L,Domestic,Website,2-3 months,2,0,5
45,50+,Female,Tier 2,1L+,Domestic,Agent,2-3 months,6,1,1
46,50+,Prefer not to say,Tier 1,20k-50k,Domestic,Website,Monthly,5,1,1
47,50+,Female,Tier 2,20k-50k,Domestic,Agent,2-3 months,2,1,3
48,36-50,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,3,0,4
49,26-35,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,1,0,4
50,26-35,Female,Tier 3,20k-50k,Domestic,Call,Monthly,3,1,4
51,36-50,Prefer not to say,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,2,0,4
52,26-35,Prefer not to say,Tier 2,1L+,Domestic,Mobile App,2-3 months,3,0,3
53,36-50,Male,Tier 2,1L+,Commercial,Agent,2-3 months,6,1,1
54,50+,Female,Tier 1,50k-1L,Domestic,Mobile App,Monthly,1,0,5
55,36-50,Prefer not to say,Tier 2,50k-1L,Domestic,Mobile App,3-6 months,1,0,4
56,50+,Male,Tier 2,50k-1L,Domestic,Agent,Monthly,3,1,3
57,50+,Prefer not to say,Tier 2,<20k,Domestic,Agent,3-6 months,4,1,3
58,18-25,Female,Tier 1,<20k,Commercial,Mobile App,3-6 months,2,0,5
59,36-50,Prefer not to say,Tier 3,50k-1L,Domestic,Agent,2-3 months,5,1,1
60,18-25,Prefer not to say,Tier 2,50k-1L,Domestic,Agent,Monthly,5,1,1
61,36-50,Prefer not to say,Tier 3,<20k,Domestic,Mobile App,Monthly,1,0,5
62,36-50,Prefer not to say,Tier 2,1L+,Domestic,Mobile App,Monthly,1,0,4
63,18-25,Male,Tier 2,<20k,Domestic,Mobile App,3-6 months,2,0,3
64,18-25,Male,Tier 1,20k-50k,Domestic,Call,Monthly,2,1,5
65,36-50,Female,Tier 1,50k-1L,Domestic,Mobile App,3-6 months,1,0,5
66,26-35,Male,Tier 3,<20k,Domestic,Website,Monthly,6,1,1
67,50+,Male,Tier 1,<20k,Domestic,Agent,Monthly,5,1,1
68,18-25,Female,Tier 3,20k-50k,Domestic,Agent,2-3 months,2,1,4
69,50+,Male,Tier 2,50k-1L,Domestic,Website,Monthly,3,0,4
70,26-35,Male,Tier 1,20k-50k,Commercial,Agent,2-3 months,6,1,1
71,26-35,Female,Tier 1,50k-1L,Domestic,Mobile App,2-3 months,1,0,4
